hyperparameter_name,value,avg_rank,wilcoxon_p,holm_p,friedman_chi2,friedman_p,is_paper_value,mean_sr
gamma,0.3,4.0,0.003906,0.007812,33.1340,1.12134e-06,0,94.64
gamma,0.5,2.6,0.003906,0.007812,33.1340,1.12134e-06,0,95.51
gamma,0.6,1.1,,,33.1340,1.12134e-06,1,95.79
gamma,0.7,2.55,0.001953,0.007812,33.1340,1.12134e-06,0,95.55
gamma,0.9,4.75,0.001953,0.007812,33.1340,1.12134e-06,0,94.55
sigma,0.02,3.65,0.015625,0.046875,28.8408,8.42176e-06,0,95.16
sigma,0.04,2.15,0.125000,0.125000,28.8408,8.42176e-06,0,95.62
sigma,0.06,1.75,,,28.8408,8.42176e-06,1,95.79
sigma,0.1,2.75,0.062500,0.125000,28.8408,8.42176e-06,0,95.48
sigma,0.2,4.7,0.003906,0.015625,28.8408,8.42176e-06,0,94.79
lambda,0.0,2.9,0.001953,0.007812,34.3579,6.29284e-07,0,95.17
lambda,0.5,3.9,0.003906,0.007812,34.3579,6.29284e-07,0,94.67
lambda,1.0,1.1,,,34.3579,6.29284e-07,1,95.79
lambda,2.0,2.3,0.003906,0.007812,34.3579,6.29284e-07,0,95.36
lambda,4.0,4.8,0.001953,0.007812,34.3579,6.29284e-07,0,94.48
