[Mon May 11 12:57:13 AEST 2026] [p5_only gpu=1] starting

================================================================================
HYBRID P5-ONLY PIPELINE
================================================================================
[12:57:13] [p5-hybrid] p5_only root: /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/p5_only  baseline_only ref: /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only
[12:57:13] [p5-hybrid] rag_bank root: /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/p5_only/rag_bank

--------------------------------------------------------------------------------
PHASE 1: BOOTSTRAP
--------------------------------------------------------------------------------
[12:57:14] [p5-hybrid] demos: copied 20 initial BFS demos from /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos; skipped 21 baseline-DAgger corrections, 0 unknown. Total now in /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/p5_only/demos: 20.
[12:57:15] [p5-hybrid] copied initial best -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/p5_only/checkpoints/best_hybrid_policy.pth

--------------------------------------------------------------------------------
PHASE 2: ROUND 0 — HELDOUT EVAL
--------------------------------------------------------------------------------
[12:57:15] [p5-hybrid] $ /home/s226137394/.conda/envs/maze/bin/python -u -m Equivariant_pathway.equivariant_CNN_hybrid.rollout_test --checkpoint /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/p5_only/checkpoints/best_hybrid_policy.pth --layouts /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/heldout_layouts.yaml --out_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/p5_only/results/round_000_heldout_eval --seed 0 --max_steps 60
[hybrid-rollout] 200 unique; running 200 eps
[hybrid-rollout] loaded /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/p5_only/checkpoints/best_hybrid_policy.pth
[hybrid-rollout] ep 0 (heldout_001): steps=6 success=True
[hybrid-rollout] ep 1 (heldout_002): steps=5 success=True
[hybrid-rollout] ep 2 (heldout_003): steps=60 success=False
[hybrid-rollout] ep 3 (heldout_004): steps=4 success=True
[hybrid-rollout] ep 4 (heldout_005): steps=60 success=False
[hybrid-rollout] ep 5 (heldout_006): steps=60 success=False
[hybrid-rollout] ep 6 (heldout_007): steps=60 success=False
[hybrid-rollout] ep 7 (heldout_008): steps=60 success=False
[hybrid-rollout] ep 8 (heldout_009): steps=4 success=True
[hybrid-rollout] ep 9 (heldout_010): steps=6 success=True
[hybrid-rollout] ep 10 (heldout_011): steps=60 success=False
[hybrid-rollout] ep 11 (heldout_012): steps=60 success=False
[hybrid-rollout] ep 12 (heldout_013): steps=1 success=False
[hybrid-rollout] ep 13 (heldout_014): steps=5 success=True
[hybrid-rollout] ep 14 (heldout_015): steps=60 success=False
[hybrid-rollout] ep 15 (heldout_016): steps=2 success=False
[hybrid-rollout] ep 16 (heldout_017): steps=60 success=False
[hybrid-rollout] ep 17 (heldout_018): steps=5 success=True
[hybrid-rollout] ep 18 (heldout_019): steps=60 success=False
[hybrid-rollout] ep 19 (heldout_020): steps=60 success=False
[hybrid-rollout] ep 20 (heldout_021): steps=60 success=False
[hybrid-rollout] ep 21 (heldout_022): steps=2 success=False
[hybrid-rollout] ep 22 (heldout_023): steps=6 success=True
[hybrid-rollout] ep 23 (heldout_024): steps=60 success=False
[hybrid-rollout] ep 24 (heldout_025): steps=2 success=False
[hybrid-rollout] ep 25 (heldout_026): steps=4 success=True
[hybrid-rollout] ep 26 (heldout_027): steps=4 success=True
[hybrid-rollout] ep 27 (heldout_028): steps=60 success=False
[hybrid-rollout] ep 28 (heldout_029): steps=4 success=True
[hybrid-rollout] ep 29 (heldout_030): steps=4 success=True
[hybrid-rollout] ep 30 (heldout_031): steps=4 success=True
[hybrid-rollout] ep 31 (heldout_032): steps=5 success=True
[hybrid-rollout] ep 32 (heldout_033): steps=60 success=False
[hybrid-rollout] ep 33 (heldout_034): steps=60 success=False
[hybrid-rollout] ep 34 (heldout_035): steps=5 success=True
[hybrid-rollout] ep 35 (heldout_036): steps=60 success=False
[hybrid-rollout] ep 36 (heldout_037): steps=60 success=False
[hybrid-rollout] ep 37 (heldout_038): steps=4 success=True
[hybrid-rollout] ep 38 (heldout_039): steps=60 success=False
[hybrid-rollout] ep 39 (heldout_040): steps=60 success=False
[hybrid-rollout] ep 40 (heldout_041): steps=5 success=True
[hybrid-rollout] ep 41 (heldout_042): steps=60 success=False
[hybrid-rollout] ep 42 (heldout_043): steps=5 success=True
[hybrid-rollout] ep 43 (heldout_044): steps=5 success=True
[hybrid-rollout] ep 44 (heldout_045): steps=4 success=False
[hybrid-rollout] ep 45 (heldout_046): steps=1 success=False
[hybrid-rollout] ep 46 (heldout_047): steps=60 success=False
