A6 — KAG grounding OFF,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Remove the per-task knowledge graph from the prompt.,,,,,,,
,,,,,,,
What is ablated,"The rendered knowledge graph (embodiment, geometry, workspace bounds, failure taxonomy, per-mode rules) is dropped from both VLM and LLM prompts.",,,,,,
Hypothesis (what should happen),Modest SR drop AND a rise in infeasible/fallback rate (no workspace bounds in prompt → more infeasible prescription (the expert was not able to solve the episode even after max_steps were elapsed)).,,,,,,
"If the gap is ~0, it means",KAG 'bounds the damage' claim is empty and the per-task KG authoring cost buys nothing.,,,,,,
,,,,,,,
Task,Obs,Full DISTIL (ref),Best baseline (ref),abb ± std),Δ vs full DISTIL,Margin retained %,Fallback rate %
GridWorld 5x5,state,92.4,86.8,91 ± 1.3,-1.4,0.749999999999999,29
GridWorld 5x5,image,91.3,89.1,89.8 ± 2.1,-1.5,0.318181818181818,27.1
Push-T,state,96.1,94.1,93.4 ± 5.2,-2.7,-0.35,27
Push-T,image,92.6,89,88.7 ± 5.5,-3.9,-0.0833333333333335,29
Lift,state,100,100,99.7 ± 0.5,-0.3,,31.3
Lift,image,100,99.6,99.7 ± 0.4,-0.3,0.249999999999996,22
Wipe,state,93.1,90.4,91.4 ± 6.8,-1.7,0.370370370370372,34.2
Wipe,image,92.3,88.6,89.5 ± 3.7,-2.8,0.243243243243243,27.4
Door,state,96.6,93.2,94 ± 4.5,-2.6,0.235294117647059,23.5
Door,image,88.6,84.2,85.7 ± 3.8,-2.9,0.340909090909092,34.8
