A9 — Context set S composition (κ = 3) — all 10 task–modality cells,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Which of the three selection rules earns its slot? Target cluster fixed by Eq 9, only the COMPOSITION of S varies.,,,,,,,,,
,,,,,,,,,,
What is ablated,S = forced target representative + worst-peak-loss seed + farthest-point (FPS) diversity fill. Each ingredient removed in turn, 'random fill' replaces FPS, 'Random 3' is the floor control.,,,,,,,
Hypothesis (what should happen),"Dropping the forced representative should hurt most (the LLM stops seeing the mode it is meant to fix). FPS-vs-random should be a small gap. Effects are structurally WEAKER on Wipe and GridWorld (bridging infeasible → S only picks which failure to target, a narrower job) and near-zero on Lift (saturated).",,,,,,,,,
"If the gap is ~0, it means","If Random-3 ≈ Full S everywhere, the rep+worst+FPS construction is ceremony: cut it, drop 2 citations (Sener & Savarese; Eldar), reclaim page space.",,,,,,,,,
,,,,,,,,,,
Variant,"GridWorld
state","GridWorld
image","Push-T
state","Push-T
image","Lift
state","Lift
image","Wipe
state","Wipe
image","Door
state","Door
image"
Full S (rep + worst-loss + FPS),92.4±1.3,91.3±1.8,96.1±3.5,92.6±4.9,100.0±0.0,100.0±0.0,93.1±3.0,92.3±3.2,96.6±4.2,88.6±3.4
− FPS (random fill),89.6 ± 1.3,88.9 ± 2.2,94.4 ± 5.3,90.1 ± 5.1,99.9 ± 0.8,99.7 ± 0.6,91.7 ± 6.2,90.1 ± 3.9,90.3 ± 4.7,83.1 ± 3.8
− worst-loss seed,89.4 ± 1.6,89.0 ± 2.2,95.0 ± 4.8,90.4 ± 5.2,99.6 ± 0.8,99.9 ± 0.5,90.9 ± 6.1,90.6 ± 3.6,92.8 ± 4.7,82.2 ± 3.9
− forced representative,88.7 ± 1.4,88.9 ± 2.2,93.5 ± 4.7,89.3 ± 6.0,99.9 ± 0.6,99.9 ± 0.8,90.8 ± 6.1,89.3 ± 3.5,90.8 ± 4.8,84.0 ± 3.8
Random 3 from cluster,88.4 ± 1.4,88.4 ± 2.2,92.9 ± 5.4,89.9 ± 4.9,99.9 ± 0.7,99.8 ± 0.9,89.4 ± 6.8,88.2 ± 3.8,89.8 ± 4.3,83.9 ± 4.2
