
--------------------------------------------------------------------------------
WORKER run_id=2 method=thrifty_dagger kind=thrifty
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
THRIFTY_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[12:59:00] [iil-baseline] round 1: pool=20 successes=10 failures=10 correction_sr=0.500
[12:59:00] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[12:59:00] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/thrifty_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 2 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/thrifty_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/thrifty_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 7 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 7, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.4150 top1=0.828 | val loss=0.0298 | t=1.2s  *
[finetune_replay] ep   2/90 | train loss=0.1620 top1=0.960 | val loss=0.0144 | t=0.3s  *
[finetune_replay] ep   3/90 | train loss=0.0786 top1=0.949 | val loss=0.0071 | t=0.2s  *
[finetune_replay] ep   4/90 | train loss=0.0476 top1=1.000 | val loss=0.0076 | t=0.2s
[finetune_replay] ep   5/90 | train loss=0.0387 top1=1.000 | val loss=0.0188 | t=0.3s
[finetune_replay] ep   6/90 | train loss=0.0358 top1=1.000 | val loss=0.0075 | t=0.2s
[finetune_replay] ep   7/90 | train loss=0.0154 top1=1.000 | val loss=0.0057 | t=0.1s  *
[finetune_replay] ep   8/90 | train loss=0.0100 top1=1.000 | val loss=0.0049 | t=0.1s  *
[finetune_replay] ep   9/90 | train loss=0.0167 top1=1.000 | val loss=0.0049 | t=0.1s  *
[finetune_replay] ep  10/90 | train loss=0.0133 top1=1.000 | val loss=0.0027 | t=0.1s  *
[finetune_replay] ep  11/90 | train loss=0.0080 top1=1.000 | val loss=0.0027 | t=0.1s  *
[finetune_replay] ep  12/90 | train loss=0.0084 top1=1.000 | val loss=0.0034 | t=0.1s
[finetune_replay] ep  13/90 | train loss=0.0097 top1=1.000 | val loss=0.0022 | t=0.1s  *
[finetune_replay] ep  14/90 | train loss=0.0057 top1=1.000 | val loss=0.0020 | t=0.1s  *
[finetune_replay] ep  15/90 | train loss=0.0061 top1=1.000 | val loss=0.0026 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0076 top1=1.000 | val loss=0.0028 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0051 top1=1.000 | val loss=0.0029 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0042 top1=1.000 | val loss=0.0023 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0037 top1=1.000 | val loss=0.0019 | t=0.1s  *
[finetune_replay] ep  20/90 | train loss=0.0027 top1=1.000 | val loss=0.0016 | t=0.2s  *
[finetune_replay] ep  21/90 | train loss=0.0037 top1=1.000 | val loss=0.0017 | t=0.1s
