A3 — Clustering OFF (greedy worst-loss),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
No mode structure, always correct the single highest-peak-loss failure.,,,,,,
,,,,,,,
What is ablated,"Failure-mode clustering (Eq 8) is removed; the round targets the raw highest-loss failure (or a random one). No modes, so memory has nothing to rotate over.",,,,,,
Hypothesis (what should happen),Info gain should stay HIGH (still chasing high loss) while success rate DROPS — the direct demonstration of your Q2 point that gain without allocation is redundant.,,,,,,
"If the gap is ~0, it means",Grouping failures into modes does not matter, the win is just high-loss chasing. Pairs with A1 to triangulate the allocation thesis.,,,,,
,,,,,,,
Task,Obs,Full DISTIL (ref),Best baseline (ref),DISTIL-ablated (mean ± std),Δ vs full DISTIL,Margin retained %,Info gain (ablated)
GridWorld 5x5,state,92.4,86.8,89.4 ± 1.4,-3,0.464285714285715,3.46
GridWorld 5x5,image,91.3,89.1,89.1 ± 2.0,-2.2,0,3.23
Push-T,state,96.1,94.1,92.0 ± 4.7,-4.1,-1.05,2.97
Push-T,image,92.6,89,88.0 ± 5.9,-4.6,-0.277777777777778,3
Lift,state,100,100,99.1 ± 0.4,-0.9,,2.76
Lift,image,100,99.6,99.5 ± 0.6,-0.5,-0.249999999999982,2.88
Wipe,state,93.1,90.4,89.3 ± 7.1,-3.8,-0.407407407407412,3.07
Wipe,image,92.3,88.6,87.2 ± 3.8,-5.1,-0.378378378378376,3.59
Door,state,96.6,93.2,94.1 ± 4.9,-2.5,0.264705882352939,3.63
Door,image,88.6,84.2,81.8 ± 3.9,-6.8,-0.545454545454548,2.87
