D3 — Bridge vs targeted usage per task,Unnamed: 1,Unnamed: 2,Unnamed: 3
How often is bridging actually chosen? Directly bounds what A7 can show.,,,
,,,
What is ablated,Per cell: share of accepted prescriptions that were bridging vs targeted (over all rounds × seeds).,,
Hypothesis (what should happen),Bridging in ~15-30% of rounds on pose-randomized tasks, exactly 0% on Wipe (path-randomized) and GridWorld (corridor).,
"If the gap is ~0, it means","If bridging is <10% everywhere, it is not a real contribution and A7 will (correctly) show ~0 effect.",,
,,,
Task,Obs,Targeted %,Bridge %
GridWorld 5x5,state,70,30
GridWorld 5x5,image,76,24
Push-T,state,72,28
Push-T,image,81,19
Lift,state,82,18
Lift,image,81,19
Wipe,state,94,6
Wipe,image,93,7
Door,state,70,30
Door,image,79,21
