D2 — Distribution of chosen k⋆ across rounds — all 10 cells,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Is k truly adaptive, or does silhouette just always pick 3?",,,,,,,,
,,,,,,,,
What is ablated,"For every cell, how many rounds selected each k ∈ {2..6}, and how many skipped the sweep entirely (N ≤ 3 → each failure is its own cluster).",,,,,,,
Hypothesis (what should happen),"A real spread with a mode at 3 supports 'discovered modes'. Note the 'N ≤ 3 (skipped)' column is LARGE — as the policy improves, failures get rare, so clustering is inactive in many late rounds (cf. D4).",,,,,,,
"If the gap is ~0, it means","If k=3 dominates overwhelmingly, adaptivity is theatre: Figure 5's k=3 is not a discovery and Eq 8 can be a constant. Cross-read with A14.",,,,,,,
,,,,,,,,
Task,Obs,Total rounds,k=2,k=3,k=4,k=5,k=6,N<=3 (Rejected)
GridWorld 5x5,state,149,27,35,38,26,23,31
GridWorld 5x5,image,143,19,39,35,27,23,37
Push-T,state,85,13,23,26,15,8,15
Push-T,image,71,13,26,25,5,2,29
Lift,state,69,21,11,16,2,19,31
Lift,image,77,13,14,17,22,11,23
Wipe,state,81,12,19,22,16,12,19
Wipe,image,75,13,21,13,16,12,25
Door,state,66,12,18,10,14,12,34
Door,image,80,14,19,11,24,12,20
