A4 — LLM prescription vs fixed heuristic,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Replace the reasoning-LLM decision with 'always target dominant cluster representative'.,,,,,,
,,,,,,
What is ablated,"The LLM's prescription (targeted-vs-bridge, which failures to cite) is swapped for a deterministic heuristic on the SAME geometric clusters.",,,,,
Hypothesis (what should happen),"Because clustering is already geometric (Eq 7 uses no LLM output), the heuristic should land CLOSE to full DISTIL — a small, consistent gap.",,,,,
"If the gap is ~0, it means","The reasoning LLM (high-effort, 16k tokens, wall-clock cost you list as a limitation) is not earning its cost. Realistically this gap may be small — know it before a reviewer does.",,,,,
,,,,,,
Task,Obs,Full DISTIL (ref),Best baseline (ref),DISTIL-ablated (mean ± std),Δ vs full DISTIL,Margin retained %
GridWorld 5x5,state,92.4,86.8,91.5 ± 1.5,-0.9,0.839285714285713
GridWorld 5x5,image,91.3,89.1,90.8 ± 1.8,-0.5,0.772727272727272
Push-T,state,96.1,94.1,94.2 ± 5.2,-1.9,0.05
Push-T,image,92.6,89,91.8 ± 6.0,-0.8,0.777777777777779
Lift,state,100,100,99.9 ± 0.5,-0.1,
Lift,image,100,99.6,99.8 ± 0.8,-0.2,0.499999999999993
Wipe,state,93.1,90.4,91.9 ± 6.7,-1.2,0.555555555555558
Wipe,image,92.3,88.6,91.0 ± 3.6,-1.3,0.648648648648648
Door,state,96.6,93.2,96.2 ± 4.9,-0.4,0.882352941176473
Door,image,88.6,84.2,87.0 ± 4.2,-1.6,0.636363636363638
