[Mon May 11 12:46:58 AEST 2026] [baseline] starting

================================================================================
HYBRID BASELINE-DAGGER PIPELINE
================================================================================
[12:46:58] [bo-hybrid] baseline_only root: /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only

--------------------------------------------------------------------------------
PHASE 1: LAYOUTS
--------------------------------------------------------------------------------
[layout-sampler] wrote 200 layouts -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/heldout_layouts.yaml
[layout-sampler] wrote 40 layouts -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/correction_layouts.yaml

--------------------------------------------------------------------------------
PHASE 2: INITIAL DEMO COLLECTION
--------------------------------------------------------------------------------
[12:46:59] [bo-hybrid] $ /home/s226137394/.conda/envs/maze/bin/python -u -m Equivariant_pathway.collect_demos --layouts /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/training_layouts.yaml --demo_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos --num_demos 20 --seed 0
[eq-collect] 20 layouts in /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/training_layouts.yaml
[eq-collect] saved demo_multimodal_heldout_001_1778468131706.json  (layout 1/20, start=[0, 2], goal=[2, 4], fires=[[0, 4], [3, 4], [4, 0]])
[eq-collect] saved demo_multimodal_heldout_002_1778467661643.json  (layout 2/20, start=[3, 4], goal=[0, 0], fires=[[1, 2], [1, 3], [4, 3]])
[eq-collect] saved demo_multimodal_heldout_003_1778467796076.json  (layout 3/20, start=[4, 4], goal=[1, 2], fires=[[0, 1], [1, 0], [2, 3]])
[eq-collect] saved demo_multimodal_heldout_004_1778468270334.json  (layout 4/20, start=[2, 0], goal=[4, 3], fires=[[1, 4], [3, 2], [3, 3]])
[eq-collect] saved demo_multimodal_heldout_005_1778468227656.json  (layout 5/20, start=[2, 0], goal=[4, 2], fires=[[0, 1], [0, 4], [4, 4]])
[eq-collect] saved demo_multimodal_heldout_006_1778468591850.json  (layout 6/20, start=[2, 1], goal=[1, 4], fires=[[0, 4], [2, 2], [4, 0]])
[eq-collect] saved demo_multimodal_heldout_007_1778468350697.json  (layout 7/20, start=[4, 3], goal=[1, 4], fires=[[0, 1], [2, 4], [4, 1]])
[eq-collect] saved demo_multimodal_heldout_008_1778468164914.json  (layout 8/20, start=[0, 3], goal=[4, 2], fires=[[0, 0], [0, 4], [4, 1]])
[eq-collect] saved demo_multimodal_heldout_009_1778468556466.json  (layout 9/20, start=[1, 2], goal=[4, 0], fires=[[0, 3], [3, 0], [3, 2]])
[eq-collect] saved demo_multimodal_heldout_010_1778468437358.json  (layout 10/20, start=[0, 1], goal=[2, 3], fires=[[1, 0], [1, 2], [4, 2]])
[eq-collect] saved demo_multimodal_heldout_011_1778468478997.json  (layout 11/20, start=[0, 4], goal=[3, 1], fires=[[0, 0], [0, 2], [0, 3]])
[eq-collect] saved demo_multimodal_heldout_012_1778468176038.json  (layout 12/20, start=[3, 3], goal=[1, 0], fires=[[2, 2], [2, 4], [3, 1]])
[eq-collect] saved demo_multimodal_heldout_013_1778468351485.json  (layout 13/20, start=[4, 4], goal=[0, 3], fires=[[2, 0], [2, 1], [4, 2]])
[eq-collect] saved demo_multimodal_heldout_014_1778468485115.json  (layout 14/20, start=[1, 0], goal=[3, 4], fires=[[1, 4], [2, 3], [4, 4]])
[eq-collect] saved demo_multimodal_heldout_015_1778467702460.json  (layout 15/20, start=[1, 2], goal=[4, 4], fires=[[1, 1], [3, 1], [3, 4]])
[eq-collect] saved demo_multimodal_heldout_016_1778467650485.json  (layout 16/20, start=[0, 2], goal=[4, 1], fires=[[0, 0], [0, 4], [3, 3]])
[eq-collect] saved demo_multimodal_heldout_017_1778467627628.json  (layout 17/20, start=[0, 2], goal=[4, 2], fires=[[1, 1], [1, 4], [3, 1]])
[eq-collect] saved demo_multimodal_heldout_018_1778467630650.json  (layout 18/20, start=[2, 4], goal=[4, 2], fires=[[1, 4], [2, 2], [3, 4]])
[eq-collect] saved demo_multimodal_heldout_019_1778468269644.json  (layout 19/20, start=[2, 4], goal=[4, 2], fires=[[2, 0], [4, 0], [4, 3]])
[eq-collect] saved demo_multimodal_heldout_020_1778468083472.json  (layout 20/20, start=[4, 4], goal=[0, 0], fires=[[2, 2], [4, 0], [4, 3]])
[eq-collect] DONE — wrote 20 demos -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos
[12:47:02] [bo-hybrid] final initial demo count: 20

--------------------------------------------------------------------------------
PHASE 3: INITIAL TRAINING
--------------------------------------------------------------------------------
[12:47:02] [bo-hybrid] $ /home/s226137394/.conda/envs/maze/bin/python -u -m Equivariant_pathway.equivariant_CNN_hybrid.train --demo_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos --checkpoint_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/checkpoints --epochs 500 --seed 0 --max_demos 20
[hybrid-train] device=cuda demo_dir=/vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos
[hybrid-dataset] 20 demos -> 99 samples
[hybrid-train] trainable params: 1,400,028
[hybrid-train] ep   1/500 | train loss=0.9054 top1=0.511 | val loss=1.0548 | t=0.6s  *
[hybrid-train] ep   2/500 | train loss=0.8735 top1=0.511 | val loss=1.0292 | t=0.1s  *
[hybrid-train] ep   3/500 | train loss=0.8711 top1=0.511 | val loss=1.0204 | t=0.1s  *
[hybrid-train] ep   4/500 | train loss=0.8641 top1=0.511 | val loss=1.0309 | t=0.1s
[hybrid-train] ep   5/500 | train loss=0.8589 top1=0.511 | val loss=1.0622 | t=0.1s
[hybrid-train] ep   6/500 | train loss=0.8500 top1=0.511 | val loss=1.1038 | t=0.1s
[hybrid-train] ep   7/500 | train loss=0.8402 top1=0.511 | val loss=1.1289 | t=0.1s
[hybrid-train] ep   8/500 | train loss=0.8314 top1=0.511 | val loss=1.1267 | t=0.1s
[hybrid-train] ep   9/500 | train loss=0.8134 top1=0.511 | val loss=1.0132 | t=0.1s  *
[hybrid-train] ep  10/500 | train loss=0.7984 top1=0.589 | val loss=1.0217 | t=0.1s
[hybrid-train] ep  11/500 | train loss=0.7702 top1=0.533 | val loss=1.0934 | t=0.1s
[hybrid-train] ep  12/500 | train loss=0.7469 top1=0.511 | val loss=0.9722 | t=0.1s  *
[hybrid-train] ep  13/500 | train loss=0.7254 top1=0.678 | val loss=0.9123 | t=0.1s  *
[hybrid-train] ep  14/500 | train loss=0.6966 top1=0.722 | val loss=0.9204 | t=0.1s
[hybrid-train] ep  15/500 | train loss=0.6580 top1=0.722 | val loss=0.8712 | t=0.1s  *
[hybrid-train] ep  16/500 | train loss=0.6154 top1=0.822 | val loss=0.8777 | t=0.1s
[hybrid-train] ep  17/500 | train loss=0.5793 top1=0.800 | val loss=0.8294 | t=0.1s  *
[hybrid-train] ep  18/500 | train loss=0.5398 top1=0.856 | val loss=0.8371 | t=0.1s
[hybrid-train] ep  19/500 | train loss=0.5194 top1=0.867 | val loss=0.8125 | t=0.1s  *
[hybrid-train] ep  20/500 | train loss=0.4824 top1=0.889 | val loss=0.7641 | t=0.1s  *
[hybrid-train] ep  21/500 | train loss=0.4528 top1=0.922 | val loss=0.7877 | t=0.1s
[hybrid-train] ep  22/500 | train loss=0.4565 top1=0.911 | val loss=0.7133 | t=0.1s  *
[hybrid-train] ep  23/500 | train loss=0.4235 top1=0.944 | val loss=0.8325 | t=0.1s
[hybrid-train] ep  24/500 | train loss=0.3948 top1=0.956 | val loss=0.7195 | t=0.1s
[hybrid-train] ep  25/500 | train loss=0.3593 top1=0.967 | val loss=0.7808 | t=0.1s
[hybrid-train] ep  26/500 | train loss=0.3544 top1=0.956 | val loss=0.6882 | t=0.1s  *
[hybrid-train] ep  27/500 | train loss=0.3178 top1=0.978 | val loss=0.6235 | t=0.1s  *
[hybrid-train] ep  28/500 | train loss=0.3081 top1=0.967 | val loss=0.7425 | t=0.1s
[hybrid-train] ep  29/500 | train loss=0.2944 top1=0.956 | val loss=0.7015 | t=0.1s
[hybrid-train] ep  30/500 | train loss=0.2561 top1=1.000 | val loss=0.6251 | t=0.1s
[hybrid-train] ep  31/500 | train loss=0.2736 top1=0.967 | val loss=0.7188 | t=0.1s
[hybrid-train] ep  32/500 | train loss=0.2423 top1=0.989 | val loss=0.5047 | t=0.1s  *
[hybrid-train] ep  33/500 | train loss=0.2235 top1=1.000 | val loss=0.8622 | t=0.1s
[hybrid-train] ep  34/500 | train loss=0.2466 top1=0.967 | val loss=0.7478 | t=0.1s
[hybrid-train] ep  35/500 | train loss=0.2087 top1=1.000 | val loss=0.4951 | t=0.1s  *
[hybrid-train] ep  36/500 | train loss=0.1947 top1=1.000 | val loss=0.8116 | t=0.1s
[hybrid-train] ep  37/500 | train loss=0.2038 top1=1.000 | val loss=0.6702 | t=0.1s
[hybrid-train] ep  38/500 | train loss=0.1751 top1=1.000 | val loss=0.4977 | t=0.1s
[hybrid-train] ep  39/500 | train loss=0.1620 top1=1.000 | val loss=0.5539 | t=0.1s
[hybrid-train] ep  40/500 | train loss=0.1382 top1=1.000 | val loss=0.6812 | t=0.1s
[hybrid-train] ep  41/500 | train loss=0.1413 top1=1.000 | val loss=0.5094 | t=0.1s
[hybrid-train] ep  42/500 | train loss=0.1226 top1=1.000 | val loss=0.4642 | t=0.1s  *
[hybrid-train] ep  43/500 | train loss=0.1074 top1=1.000 | val loss=0.5927 | t=0.1s
[hybrid-train] ep  44/500 | train loss=0.1014 top1=1.000 | val loss=0.3559 | t=0.1s  *
[hybrid-train] ep  45/500 | train loss=0.0971 top1=1.000 | val loss=0.6574 | t=0.1s
[hybrid-train] ep  46/500 | train loss=0.0999 top1=1.000 | val loss=0.4261 | t=0.1s
[hybrid-train] ep  47/500 | train loss=0.0860 top1=1.000 | val loss=0.4505 | t=0.1s
[hybrid-train] ep  48/500 | train loss=0.0740 top1=1.000 | val loss=0.4901 | t=0.1s
[hybrid-train] ep  49/500 | train loss=0.0664 top1=1.000 | val loss=0.4364 | t=0.1s
[hybrid-train] ep  50/500 | train loss=0.0616 top1=1.000 | val loss=0.3578 | t=0.1s
[hybrid-train] ep  51/500 | train loss=0.0533 top1=1.000 | val loss=0.5097 | t=0.1s
[hybrid-train] ep  52/500 | train loss=0.0487 top1=1.000 | val loss=0.3107 | t=0.1s  *
[hybrid-train] ep  53/500 | train loss=0.0490 top1=1.000 | val loss=0.5068 | t=0.1s
[hybrid-train] ep  54/500 | train loss=0.0441 top1=1.000 | val loss=0.2995 | t=0.1s  *
[hybrid-train] ep  55/500 | train loss=0.0374 top1=1.000 | val loss=0.4144 | t=0.1s
[hybrid-train] ep  56/500 | train loss=0.0333 top1=1.000 | val loss=0.3047 | t=0.1s
[hybrid-train] ep  57/500 | train loss=0.0299 top1=1.000 | val loss=0.3713 | t=0.1s
