A2 — Uniform-random allocation (Stagger) on the robot tasks,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Fills the control gap you admit twice: Stagger runs on GridWorld only. Extends it to the 8 robot cells.,,,,,,,,
,,,,,,,,
What is ablated,"Each round corrects one uniformly-chosen recorded failure — no clustering, no memory, no LLM. The random-allocation control on Push-T / Lift / Wipe / Door.",,,,,,,
Hypothesis (what should happen),"Random replay should beat the weakest query-gates but sit clearly below Diff-DAgger and far below DISTIL, isolating clustering+memory from mere failure replay.",,,,,,,
"If the gap is ~0, it means",Structured allocation is unnecessary — a random recorded failure per round already matches DISTIL. This is the most damaging gap if left unfilled, run it first alongside A1.,,,,,,
,,,,,,,,
Task,Obs,Best gate baseline,Diff-DAgger,Stagger (random alloc),DISTIL,DISTIL − Stagger,,
Push-T,state,94.1,94.1±4.5,82.3 ± 4.2,96.1±3.5,13.8,,
Push-T,image,89,89.0±4.8,81.8 ± 5.9,92.6±4.9,10.8,,
Lift,state,100,99.2±1.0,97.9 ± 4.4,100.0±0.0,2.09999999999999,,
Lift,image,99.6,99.6±0.8,96.2 ± 5.4,100.0±0.0,3.8,,
Wipe,state,90.4,90.4±6.0,83.9 ± 5.1,93.1±3.0,9.19999999999999,,
Wipe,image,88.6,88.6±3.2,83.2 ± 3.5,92.3±3.2,9.09999999999999,,
Door,state,93.2,93.2±4.3,87.1 ± 4.7,96.6±4.2,9.5,,
Door,image,84.2,84.2±3.5,80.0 ± 6.3,88.6±3.4,8.59999999999999,,
