A14 — Cluster count: silhouette (Eq 8) vs fixed k — all 10 cells,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Does the adaptive k earn its place, or would a constant do the same job?",,,,,,,,,,
,,,,,,,,,,
What is ablated,"Replace maximum-mean-silhouette k-selection with a fixed k ∈ {2,3,4,5}; k_max = max(2, min(6, N−1)) as in the paper.",,,,,,,,,
Hypothesis (what should happen),Silhouette should roughly MATCH the best fixed k rather than beat it — that is the honest expectation. k=3 is often near-optimal (cf. Figure 5).,,,,,,,,,
"If the gap is ~0, it means","If a fixed k matches silhouette in every cell, Eq 8 is unnecessary machinery — just fix k and reclaim the equation. Cross-read with D2_kStar_Dist: if silhouette almost always PICKS 3, this ablation is already decided.",,,,,,,,,
,,,,,,,,,,
Setting,"GridWorld
state","GridWorld
image","Push-T
state","Push-T
image","Lift
state","Lift
image","Wipe
state","Wipe
image","Door
state","Door
image"
"Silhouette (adaptive, Eq 8)",92.4±1.3,91.3±1.8,96.1±3.5,92.6±4.9,100.0±0.0,100.0±0.0,93.1±3.0,92.3±3.2,96.6±4.2,88.6±3.4
fixed k = 2,89.0 ± 1.6,88.6 ± 1.9,90.6 ± 4.5,84.8 ± 5.7,97.9 ± 0.9,97.9 ± 0.4,88.5 ± 7.2,86.4 ± 3.7,89.4 ± 4.9,84.5 ± 4.0
fixed k = 3,84.4 ± 1.5,89.5 ± 2.2,87.0 ± 5.3,90.5 ± 5.0,99.9 ± 0.5,98.6 ± 0.7,89.0 ± 6.8,87.8 ± 3.6,90.3 ± 4.3,85.7 ± 4.1
fixed k = 4,80.6 ± 1.3,80.5 ± 2.1,85.5 ± 4.5,89.9 ± 5.5,99.7 ± 0.8,99.8 ± 0.6,92.6 ± 6.4,90.3 ± 3.4,91.0 ± 4.7,83.4 ± 4.0
fixed k = 5,79.6 ± 1.4,78.6 ± 2.2,90.0 ± 5.1,82.4 ± 5.2,98.4 ± 0.6,98.1 ± 0.7,90.1 ± 6.6,89.6 ± 3.7,92.4 ± 4.8,87.3 ± 3.8
