D5 — Wall-clock and token cost per round,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
You list per-round reasoning cost as a limitation — give the number before a reviewer asks.,,,,,,,,
,,,,,,,,
What is ablated,Per-round overhead of the DISTIL reasoning pipeline vs an uncertainty-gated baseline: seconds/round and VLM+LLM tokens/round.,,,,,,,
Hypothesis (what should happen),DISTIL adds seconds and ~10-16k tokens per round; baselines incur ~0 foundation-model cost.,,,,,,,
"If the gap is ~0, it means",A large overhead ratio for a few SR points is a real practicality objection — report it transparently.,,,,,,,
,,,,,,,,
Task,Obs,Baseline s/round,DISTIL s/round,VLM tokens/round,LLM tokens/round,Overhead ×,KAG token contribution,Reasoning LLM tokens/round
Door,state,,,,,,,
Push-T,image,,,,,,,
Wipe,image,,,,,,,
Door,image,,,,,,,
GridWorld 5x5,image,,,,,,,
Run 1 job per task to compute and fill in these matrix.,,,,,,,,
