D1 — Root-cause label purity per geometric cluster,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Do the LLM root causes agree with the geometry-based clusters? (Q3 'semantically meaningful modes'.),,,,
,,,,
What is ablated,For each cell: mean purity = fraction of a geometric cluster's failures sharing the LLM's dominant root cause; plus mean #distinct root causes per cluster.,,,
Hypothesis (what should happen),"Purity should be high on clean tasks (Push-T, Lift) and lower on hard/image cells — coherent but not perfect.",,,
"If the gap is ~0, it means","Low purity anywhere means clusters mix root causes and the 'coherent, well-separated' caption is cherry-picked from the Push-T panel.",,,
,,,,
Task,Obs,Mean cluster purity,Mean #root-causes / cluster,Mean silhouette
GridWorld 5x5,state,0.91,1.38,0.61
GridWorld 5x5,image,0.89,1.62,0.58
Push-T,state,0.91,1.35,0.64
Push-T,image,0.9,1.3,0.61
Lift,state,0.93,1.31,0.52
Lift,image,0.92,1.43,0.49
Wipe,state,0.83,1.78,0.55
Wipe,image,0.78,1.91,0.53
Door,state,0.86,1.71,0.58
Door,image,0.84,1.86,0.56
