"A15 — How many failure episodes are cited to the LLM, and chosen how — all 10 cells",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Target cluster fixed by Eq 9. Varies the NUMBER of cited episodes and the SELECTION RULE, jointly.",,,,,,,,,,,
,,,,,,,,,,,
What is ablated,"S currently = 3 episodes by three different rules (forced rep + worst-loss seed + FPS fill). Here we instead cite n episodes from the SAME target cluster, selected by plain peak-loss rank (top-n), by the current rule, or at random.",,,,,,,,,,
Hypothesis (what should happen),"Plateau at n=2–3; n=5 flat; 'all' DEGRADES (prompt bloat — early rounds carry ~40 failures, see D4). THE key row is Top-3-by-loss vs Full S.",,,,,,,,,,
"If the gap is ~0, it means","If Top-3-by-loss ≈ Full S, the rep+worst+FPS construction is over-engineering — cut it and reclaim a line of the 7-page budget. That null is a GIFT.",,,,,,,,,,
,,,,,,,,,,,
Variant,n,"GridWorld
state","GridWorld
image","Push-T
state","Push-T
image","Lift
state","Lift
image","Wipe
state","Wipe
image","Door
state","Door
image"
Full S — rep + worst-loss + FPS (current),3,92.4±1.3,91.3±1.8,96.1±3.5,92.6±4.9,100.0±0.0,100.0±0.0,93.1±3.0,92.3±3.2,96.6±4.2,88.6±3.4
Top-1 by peak loss,1,Did not compute,Did not compute,Did not compute,Did not compute,Did not compute,Did not compute,Did not compute,Did not compute,Did not compute,Did not compute
Top-2 by peak loss,2,89.5 ± 1.5,89.0 ± 2.2,94.5 ± 5.4,90.9 ± 5.7,99.9 ± 0.9,99.9 ± 0.5,90.4 ± 6.6,89.5 ± 3.8,93.6 ± 5.2,86.7 ± 3.6
Top-3 by peak loss,3,89.8 ± 1.4,89.5 ± 2.1,94.7 ± 4.8,90.3 ± 5.8,99.9 ± 0.4,99.8 ± 0.8,90.1 ± 6.2,90.7 ± 3.4,93.2 ± 4.3,85.4 ± 3.6
,,,,,,,,,,,
,,,,,,,,,,,
Random 3 from target cluster,3,89.2 ± 1.4,89.7 ± 2.2,94.9 ± 4.5,91.8 ± 6.1,99.9 ± 0.5,99.9 ± 0.4,88.0 ± 6.1,90.6 ± 3.4,92.2 ± 5.1,84.7 ± 3.6
,,,,,,,,,,,
Full S — rep + worst-loss + FPS (current),current method (κ=3),,,,,,,,,,
Top-1 by peak loss,CONFOUNDED on all task: n=1 makes bridging impossible (needs ≥2 cited failures). ,,,,,,,,,,
Top-2 by peak loss,bridging possible again,,,,,,,,,,
Top-3 by peak loss,"THE key comparison vs Full S — if these tie, cut the FPS machinery",,,,,,,,,,
Top-5 by peak loss,no gain over n=3 → justifies the κ=3 cap,,,,,,,,,,
All failures in target cluster,prompt bloat, early rounds carry ~40 failures (D4),,,,,,,,,
Random 3 from target cluster,floor control: does selection matter at all?,,,,,,,,,,
