task,modality,ablation,n_seeds,final_sr_mean,final_sr_std,delta_vs_full,demos_to_target_mean,bridge_frac,select_frac,mean_failures_per_round,infeasible_rate,mean_tokens_per_round,mean_confidence,n_rounds_pooled
Door,state,full,1,0.0,0.0,0.0,,1.0,0.0,3.0,0.0,7746,90.0,1
GridWorld,state,allocation_random,5,0.912,0.0354,0.1528,36.8,0.0,1.0,10.3,0.0,,,100
GridWorld,state,clustering_off,5,0.916,0.0399,0.1568,35.5,0.82,0.18,10.32,0.038,9432,85.2,100
GridWorld,state,decision_heuristic,5,0.911,0.0381,0.1518,35.7,0.74,0.26,10.09,0.057,,,100
GridWorld,state,full,6,0.7592,0.3403,0.0,34.0,0.624,0.376,9.18,0.009,8837,86.1,101
GridWorld,state,memory_off,6,0.7775,0.3487,0.0183,35.4,0.515,0.485,9.51,0.037,8341,86.9,101
GridWorld,state,vlm_off,5,0.907,0.0578,0.1478,33.5,0.47,0.53,9.63,0.019,6795,87.9,100
Lift,state,full,1,0.0,0.0,0.0,,1.0,0.0,3.0,0.0,10331,95.0,1
Lift,state,safe,1,0.0,0.0,0.0,,0.0,0.0,,,,,1
Wipe,state,full,1,0.0,0.0,0.0,,0.0,1.0,3.0,0.5,6192,95.0,1
