task,modality,unit,n_runs,n_rounds,n_clusters,trees,arms,n_nn,d_nn_min,d_nn_p25,d_median,d_nn_p75,d_nn_max,n_pairwise,d_pairwise_median,n_tgt_mem,d_tgt_mem_median,L_task,L_spawn_extent,ratio_d_over_spawn,alpha,sigma_current,sigma_recommended,pen_nn_median_cur,pen_nn_iqr_cur,pen_nn_median_new,pen_nn_iqr_new,pen_tgtmem_median_cur,pen_tgtmem_iqr_cur,pen_tgtmem_median_new,pen_tgtmem_iqr_new,rounds_scored,rounds_cand_ge2,frac_rounds_kernel_can_act,rounds_decidable,argmax_flips_at_sigma_current,argmax_flips_at_sigma_recommended,verdict
Door,image,m,1,5,17,_compute,full,17,0.0019723082923316084,0.005371219600798275,0.008050465825031496,0.00943716058992322,0.013200378782444079,22,0.01015701614472022,10,0.008426420660345213,0.008050465825031496,0.027,0.2981654009270924,0.8493218002880191,0.06,0.006837436127672923,0.991039002328869,0.008294329966704317,0.5000000000000001,0.34873488278525405,0.9899335056174063,0.014672277298565573,0.472706402378117,0.5352060305630435,5,3,0.6,3,1,3,INSUFFICIENT DATA
Door,state,m,1,5,12,_compute,full,12,0.0040718546143004766,0.004854894437575362,0.005465113720763718,0.005643580423808997,0.012182774724995935,10,0.006401245477723597,10,0.005647356189886019,0.005465113720763718,0.027,0.20241161928754514,0.8493218002880191,0.06,0.004641640224097796,0.9958599853935757,0.0011455826662224444,0.5000113486712664,0.10116730399137602,0.9955687762628094,0.008247855602618426,0.47748883200029235,0.5805592298145312,5,1,0.2,1,0,1,INSUFFICIENT DATA
GridWorld,image,grid cells,1,1,2,_compute,full,2,2.3236178687555316,2.3236178687555316,2.3236178687555316,2.3236178687555316,2.3236178687555316,1,2.3236178687555316,0,,2.3236178687555316,4.0,0.5809044671888829,0.8493218002880191,0.06,1.973499311472858,0.0,0.0,0.5,0.0,,,,,1,1,1.0,0,0,0,INSUFFICIENT DATA
GridWorld,state,grid cells,30,600,1518,production,allocation_random;clustering_off;decision_heuristic;full;memory_off;vlm_off,1404,0.0,1.4142135623730951,1.9474342094150447,2.5124689052802225,5.0,1473,2.4018534509832192,5700,1.6040692907237828,1.9474342094150447,4.0,0.4868585523537612,0.8493218002880191,0.06,1.653998328682861,1.7434661718805952e-229,2.304856628971392e-121,0.5000000000000001,0.3783644656670527,6.486573846241009e-156,2.417671527410978e-54,0.6248343189792875,0.5039602604587905,600,262,0.43666666666666665,257,10,101,OK
Lift,image,m,28,558,1224,production,allocation_random;clustering_off;decision_heuristic;full;memory_off;vlm_off,1118,0.00041231056256176696,0.015160474926597783,0.02232898825297027,0.031621037301138626,0.10838782219419302,948,0.02823490579297029,5283,0.016196263676718586,0.02232898825297027,0.06,0.37214980421617117,0.8493218002880191,0.06,0.01896449650162274,0.9330947863174763,0.09824389073570594,0.5000016872468542,0.477434150552943,0.9642225129120499,0.06590060934021136,0.6944158546339572,0.43854691795533296,558,91,0.16308243727598568,87,44,47,OK
Lift,state,m,30,161,267,production,allocation_random;clustering_off;decision_heuristic;full;memory_off;vlm_off,175,0.0010440306508910553,0.013165485179058157,0.019830532015051944,0.042314300183271376,0.06980866708367951,146,0.03792469062932782,410,0.03134980820930802,0.019830532015051944,0.06,0.3305088669175324,0.8493218002880191,0.06,0.016842503151693115,0.9468467217436485,0.1963848012705791,0.5,0.6941473045490457,0.8724050308575566,0.2586215403573501,0.17687490120481647,0.5907247587226807,161,57,0.35403726708074534,34,4,7,OK
PlugCharger,state,m,3,0,0,fork,p4_fork,0,,,,,,0,,1243,0.11560735362191119,,,,0.8493218002880191,0.06,,,,,,0.15625619194497023,0.5748678272856572,,,0,0,,0,0,0,INSUFFICIENT DATA
PushT,state,m,12,413,1096,fork,p4_fork,1096,0.0,0.061054911323711755,0.11800953351318698,0.193002849719894,0.4313579140342738,1163,0.15021481285146285,12180,0.10422394274530926,0.11800953351318698,0.4,0.2950238337829674,0.8493218002880191,0.06,0.10022806945456929,0.144539653717035,0.5902038206211772,0.5,0.6740539340453042,0.22119764751423665,0.5638220260810284,0.5823622934304589,0.5639938386842577,413,77,0.1864406779661017,77,41,38,OK
StackCube,state,m,5,0,0,fork,p4_fork,0,,,,,,0,,3552,0.18918540766066055,,,,0.8493218002880191,0.06,,,,,,0.006936287840331302,0.1315796796578409,,,0,0,,0,0,0,INSUFFICIENT DATA
Wipe,image,m,1,5,12,_compute,full,12,0.015492256130079955,0.06803271271969097,0.08782290569935541,0.12593256131755598,0.16548586042317937,9,0.12593256131755598,10,0.06387589486345145,0.08782290569935541,,,0.8493218002880191,0.06,0.07458990837510147,0.3584953035669633,0.4152858988432826,0.505040579654317,0.41925815173224323,0.5676047032591665,0.30019552265171934,0.6927123179601753,0.23513643180533772,5,1,0.2,1,0,0,INSUFFICIENT DATA
Wipe,state,m,3,3,9,production,full,9,0.06324942687487374,0.12303840863730318,0.16861891946042118,0.25852235880093616,0.2609006899185972,10,0.2535618230029853,0,,0.16861891946042118,,,0.8493218002880191,0.06,0.1432117242387454,0.019275197539339192,0.12204999466962038,0.49999999999999994,0.4953246439345509,,,,,3,0,0.0,0,0,0,INSUFFICIENT DATA
