Ground truth — Per-demonstration information gain,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Transcribed from paper Table 2. Pre-retrain policy loss on each newly acquired demonstration (mean).,,,,,,,,
,,,,,,,,
Task,Obs,Safe,Dropout,Ensemble,Thrifty,Stagger,Diff-DAgger,DISTIL
GridWorld 5x5,state,2.55,2.95,1.33,1.34,1.83,–,3.55
GridWorld 5x5,image,2.46,2.53,1.57,1.37,1.88,–,3.21
Push-T,state,1.66,2.36,1.11,1.1,–,1.57,2.81
Push-T,image,2.04,2.16,1.06,1.2,–,1.8,2.82
Lift,state,2.23,2.1,1.12,1.13,–,1.61,2.64
Lift,image,2.18,2.17,1,1.21,–,1.36,2.93
Wipe,state,2.02,2.38,1.23,1.18,–,1.43,2.91
Wipe,image,2.5,2.96,1.43,1.52,–,1.95,3.62
Door,state,2.53,3.1,1.43,1.42,–,1.84,3.43
Door,image,2.35,2.46,1.24,1.26,–,1.58,3
