A8 — Deterministic fallback only,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Nearest untried recorded failure every round; no clustering, memory, or LLM.",,,,,,
,,,,,,
What is ablated,The whole reasoning stack is bypassed, each round takes the nearest untried failure (the deterministic fallback used after 5 failed attempts).,,,,
Hypothesis (what should happen),"A structured-but-dumb control: should sit between uniform-random allocation (A2) and Diff-DAgger — better than chance, far below DISTIL.",,,,,
"If the gap is ~0, it means","The deterministic scaffolding, not the LLM, is carrying the method. Pairs with the fallback-rate diagnostic.",,,,,
,,,,,,
Task,Obs,Full DISTIL (ref),Best baseline (ref),DISTIL ablated ± std,Δ vs full DISTIL,Margin retained %
GridWorld 5x5,state,92.4,86.8,90.4 ± 1.5,-2,0.642857142857142
GridWorld 5x5,image,91.3,89.1,89.5 ± 2.1,-1.8,0.181818181818182
Push-T,state,96.1,94.1,92.5 ± 5.4,-3.6,-0.8
Push-T,image,92.6,89,88.9 ± 5.0,-3.7,-0.0277777777777778
Lift,state,100,100,99.7 ± 0.4,-0.3,
Lift,image,100,99.6,99.9 ± 0.5,-0.1,0.749999999999989
Wipe,state,93.1,90.4,89.8 ± 6.8,-3.3,-0.222222222222223
Wipe,image,92.3,88.6,87.7 ± 3.8,-4.6,-0.243243243243243
Door,state,96.6,93.2,94.9 ± 5.2,-1.7,0.500000000000001
Door,image,88.6,84.2,84.2 ± 4.1,-4.4,0
