"D4 — Failures per round over the budget (Push-T image, mean over 5 seeds)",Unnamed: 1,Unnamed: 2
"As the policy improves, failures get rare → clustering may be inactive in late rounds (N≤3 path).",,
,,
What is ablated,"Mean failure count N per round r=1..20; flag rounds where N≤3 (clustering sweep skipped, each failure its own cluster).",
Hypothesis (what should happen),"N should fall over rounds; late rounds increasingly hit N≤3, so clustering+memory act mainly in early/mid training.",
"If the gap is ~0, it means","If most late rounds have N≤3, the clustering story applies to early training only — a quiet but real seam.",
,,
Round r,Mean failures N,N ≤ 3 ? (sweep skipped)
1,42,
2,38,
3,35,
4,31,
5,29,
6,26,
7,24,
8,21,
9,18,
10,16,
11,14,
12,11,
13,9,
14,7,
15,6,
16,5,
17,4,
18,3,yes
19,3,yes
20,2,yes
