A5 — VLM OFF (no visual frames),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Feed the reasoning LLM only the geometric descriptor + root-cause labels.,,,,,,
,,,,,,
What is ablated,The VLM frame description (start / t* / end) is removed from the pipeline, clustering is unaffected since it is geometric.,,,,
Hypothesis (what should happen),"VLM mainly informs root-cause quality, so expect a SMALL degradation — slightly less than the LLM-decision knockout.",,,,,
"If the gap is ~0, it means",Visual perception adds nothing measurable, the 'V' in the pipeline is dead weight. A distinct knockout from A4.,,,,
,,,,,,
Task,Obs,Full DISTIL (ref),Best baseline (ref),DISTIL-ablated (mean ± std),Δ vs full DISTIL,Margin retained %
GridWorld 5x5,state,92.4,86.8,91.7 ± 1.4,-0.7,0.874999999999999
GridWorld 5x5,image,91.3,89.1,90.7 ± 2.2,-0.6,0.727272727272726
Push-T,state,96.1,94.1,94.1 ± 4.6,-2,0
Push-T,image,92.6,89,91.8 ± 5.1,-0.8,0.777777777777779
Lift,state,100,100,99.8 ± 0.5,-0.2,
Lift,image,100,99.6,99.7 ± 0.6,-0.3,0.249999999999996
Wipe,state,93.1,90.4,92.3 ± 6.7,-0.8,0.703703703703707
Wipe,image,92.3,88.6,90.9 ± 3.2,-1.4,0.621621621621621
Door,state,96.6,93.2,96.2 ± 4.7,-0.4,0.882352941176473
Door,image,88.6,84.2,87.2 ± 3.4,-1.4,0.681818181818183
