A7 — Bridging OFF (targeted-only),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Disable Eq 10 on the tasks where bridging operates (Push-T, Lift, Door).",,,,,,
,,,,,,
What is ablated,Bridging placement is disabled, every prescription becomes a targeted in-place correction. ,,,,
Hypothesis (what should happen),"Small effect, because bridging is chosen in only ~15-30% of rounds (see D3_Bridge_Split).",,,,,
"If the gap is ~0, it means",Bridging — a full equation and half the prescription narrative — is dead weight. ,,,,,
,,,,,,
Task,Obs,Full DISTIL (ref),Best baseline (ref),DISTIL ablated ± std,Δ vs full DISTIL,Margin retained %
GridWorld 5x5,state,92.4,86.8,91.5 ± 1.8,-0.9,0.839285714285713
GridWorld 5x5,image,91.3,89.1,90 ± 2.0,-1.3,0.409090909090909
Push-T,state,96.1,94.1,95 ± 5.2,-1.1,0.45
Push-T,image,92.6,89,91.4 ± 5.1,-1.2,0.666666666666668
Lift,state,100,100,99.9 ± 0.7,-0.1,
Lift,image,100,99.6,99.8 ± 0.8,-0.2,0.499999999999993
Wipe,state,93.1,90.4,92.4 ± 5.3,-0.7,0.740740740740744
Wipe,image,92.3,88.6,89.4 ± 3.7,-2.9,0.216216216216216
Door,state,96.6,93.2,96.2 ± 4.5,-0.4,0.882352941176473
Door,image,88.6,84.2,87.2 ± 4.8,-1.4,0.681818181818183
