A1 — Cluster memory OFF (λ = 0),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Removes Eq 9. Isolates the allocation/rotation mechanism.,,,,,,
,,,,,,
What is ablated,"The recency-discounted Gaussian memory (Eq 9) is disabled: no penalty on recently corrected regions, no rotation among near-dominant clusters.",,,,,
Hypothesis (what should happen),"Budget gets absorbed by the dominant mode → margin over baselines should collapse most where several modes recur (Push-T, Wipe, GridWorld) and stay ~flat on Lift, where you already note the kernel is nearly flat.",,,,,
"If the gap is ~0, it means",The cluster memory — a headline equation and half of contribution (2) — is decorative. This is the single most important knockout to run first.,,,,,
,,,,,,
Task,Obs,Full DISTIL (ref),Best baseline (ref),DISTIL Abblated ± std,Δ vs full DISTIL,Margin retained %
GridWorld 5x5,state,92.4,86.8,91.9 ± 1.6,-0.5,0.910714285714286
GridWorld 5x5,image,91.3,89.1,90.7 ± 1.8,-0.6,0.72727272727273
Push-T,state,96.1,94.1,95.7 ± 4.8,-0.4,0.800000000000004
Push-T,image,92.6,89,91.8 ± 5.5,-0.8,0.777777777777778
Lift,state,100,100,99.9 ± 0.8,-0.1,
Lift,image,100,99.6,99.9 ± 0.8,-0.1,0.750000000000018
Wipe,state,93.1,90.4,92 ± 6.0,-1.1,0.592592592592593
Wipe,image,92.3,88.6,91.1 ± 3.6,-1.2,0.675675675675675
Door,state,96.6,93.2,96.4 ± 4.4,-0.2,0.941176470588239
Door,image,88.6,84.2,87.4 ± 3.7,-1.2,0.727272727272729
