Ground truth — Final held-out success rate (%) at B=20,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Transcribed from paper Table 1. Reference anchor for all ablation sheets. mean ± 1 std.,,,,,,,,,
,,,,,,,,,
Task,Obs,Safe,Dropout,Ensemble,Thrifty,Stagger,Diff-DAgger,DISTIL,Best baseline
GridWorld 5x5,state,85.3±2.7,84.9±2.5,86.2±2.1,86.8±2.0,85.7±1.5,,92.4±1.3,86.8
GridWorld 5x5,image,88.8±2.8,88.4±2.2,88.8±2.6,88.7±1.9,89.1±2.3,,91.3±1.8,89.1
Push-T,state,82.0±6.8,84.8±6.1,85.9±5.8,83.2±7.2,,94.1±4.5,96.1±3.5,94.1
Push-T,image,78.1±7.8,82.1±6.9,83.2±6.6,79.3±8.1,,89.0±4.8,92.6±4.9,89
Lift,state,99.2±1.6,99.2±1.0,99.2±1.0,100.0±0.0,,99.2±1.0,100.0±0.0,100
Lift,image,99.6±0.8,97.2±3.5,98.8±1.6,99.6±0.8,,99.6±0.8,100.0±0.0,99.6
Wipe,state,88.0±2.5,88.6±4.1,86.8±4.3,89.0±2.5,,90.4±6.0,93.1±3.0,90.4
Wipe,image,69.6±5.3,83.2±6.8,84.4±7.1,69.2±9.0,,88.6±3.2,92.3±3.2,88.6
Door,state,91.8±4.7,92.5±2.7,88.8±7.0,89.6±3.9,,93.2±4.3,96.6±4.2,93.2
Door,image,82.4±3.2,81.8±3.3,83.0±10.9,82.8±2.7,,84.2±3.5,88.6±3.4,84.2
"Best baseline = max baseline mean per row (transcribed from Table 1, used for margin math on ablation sheets).",,,,,,,,,
,,,,,,,,,
,,,,92.4,,,,,
,,,,91.3,,,,,
,,,,96.1,,,,,
,,,,92.6,,,,,
,,,,100,,,,,
,,,,100,,,,,
,,,,93.1,,,,,
,,,,92.3,,,,,
,,,,96.6,,,,,
,,,,88.6,,,,,
