setting,protocol,rounds_used,baseline_s_per_round,diseil_s_per_round,overhead_x,vlm_tokens_per_round,llm_tokens_per_round,kag_tokens_per_round,reasoning_llm_tokens_per_round,diseil_reasoning_only_s_narrow,diseil_reasoning_only_s_wide,baseline_gate_s_per_round,reasoning_only_addon_s,shared_train_eval_s,screen_s,llm_s,prescribe_s,total_tokens_per_round,llm_calls_per_round,kag_tokens_per_call,kag_pct_of_prompt_tokens,status,job_diseil,job_baseline
Door / state,P1: first round,0,737,1054,1.43,3258,8253,3200,3486,66,271,1,270,783,205,65,1,11511,7,800,42.0,measured (1 round),110355,110356
Door / state,P5: mean of 5 LLM-active rounds,0 1 2 3 4,532.6,782.6,1.47,3285,7644,3200,2712.0,76.2,234.8,2,232.8,547.8,158.6,75.8,0.4,10929,7,800,41.0,measured (5 rounds),110355,110356
Push-T / image,P1: first round,1,688.0,1891.0,2.75,17504,64612,11464,7214,491.6,1238.4,6.3,1232.1,652.5,746.8,490.0,1.6,82116,20,1433,17.0,measured (1 round),110375,110376
Push-T / image,P5: mean over LLM-active rounds,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,"UNMEASURED — run at BUDGET=1 by instruction; this setting has exactly one round, so no multi-round mean and no spread exist.",110375,110376
Wipe / image,P1: first round,0,1468,2195,1.5,3228,6332,2392,2303,273,704,4,700,1491,431,272,1,9560,7,598,35.0,measured (1 round),110359,110360
Wipe / image,P5: mean of 3 LLM-active rounds,0 1 2,1303.3,1991,1.53,3239.0,6879.0,2392,2909.0,231.7,658.3,2.7,655.7,1332.7,426.7,228.3,3.33,10118,7,598,35.0,measured (3 rounds),110359,110360
Door / image,P1: first round,0,1247,1474,1.18,3293,8086,3200,3004,93,294,1,293,1180,201,91,2,11379,7,800,41.0,measured (1 round),110357,110358
Door / image,P5: mean of 5 LLM-active rounds,0 1 2 3 4,1034.2,1168.8,1.13,3292.0,7495.0,3200,2561.0,86.2,267.2,1,266.2,901.6,181,85.4,0.8,10788.0,7,800,41.0,measured (5 rounds),110357,110358
GridWorld 5x5 / image,P1: first round,0,54.6,118.0,2.16,1690,8045,3460,3055,60.4,65.5,2.9,62.6,51.1,5.1,60.4,0.01,9735,7,865,54.0,measured (1 round),110384,110385
GridWorld 5x5 / image,P5: mean over LLM-active rounds,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,UNMEASURED,"UNMEASURED — run at BUDGET=1 by instruction; this setting has exactly one round, so no multi-round mean and no spread exist.",110384,110385
