"A11 — Budget sweep  B ∈ {10, 20, 40} — all 10 cells",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
"Backs the 'framework, not a 20-demo instance' reframing. B=20 column = the paper's Table 1 values (anchor).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is ablated,The hard budget B is varied, every method gets the same B. B=20 reproduces Table 1 exactly.,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothesis (what should happen),DISTIL's margin should be LARGEST at B=10 (allocation matters most when demos are scarce) and SHRINK by B=40 as everyone saturates. The headline you want: DISTIL at B=10 ≈ best baseline at B=20 — the same policy for HALF the expert labour.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the gap is ~0, it means","If DISTIL only wins at B=20, the budget-agnostic framework claim collapses. If the margin does NOT widen at B=10, that is genuinely bad news — find out now.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,Obs,Best base B=10,DISTIL B=10,Margin B=10,Best base B=20,DISTIL B=20,Margin B=20,Best base B=40,DISTIL B=40,Margin B=40,,,,,,,,,,,,,,,,,,
GridWorld 5x5,state,78,87.9,9.90000000000001,86.8,92.4,5.60000000000001,92.2,94.1,1.89999999999999,,,,,,,,,,,,,,,,,,86.8
GridWorld 5x5,image,81.1,86.8,5.7,89.1,91.3,2.2,92.5,94,1.5,,,,,,,,,,,,,,,,,,89.1
Push-T,state,78.9,87.9,9.00000000000001,94.1,96.1,2,94.5,97.7,3.2,,,,,,,,,,,,,,,,,,94.1
Push-T,image,75.1,84.8,9.69999999999999,89,92.6,3.59999999999999,93.6,96.5,2.90000000000001,,,,,,,,,,,,,,,,,,89
Lift,state,97.6,100,2.40000000000001,100,100,0,100,100,0,,,,,,,,,,,,,,,,,,100
Lift,image,97.6,100,2.40000000000001,99.6,100,0.400000000000006,100,100,0,,,,,,,,,,,,,,,,,,99.6
Wipe,state,74.6,83.6,8.99999999999999,90.4,93.1,2.69999999999999,94.6,97.4,2.80000000000001,,,,,,,,,,,,,,,,,,90.4
Wipe,image,71.5,82.5,11,88.6,92.3,3.7,93.9,97.3,3.39999999999999,,,,,,,,,,,,,,,,,,88.6
Door,state,82.5,90.2,7.69999999999999,93.2,96.6,3.39999999999999,97.2,99.1,1.89999999999999,,,,,,,,,,,,,,,,,,93.2
Door,image,69.8,82.3,12.5,84.2,88.6,4.39999999999999,95.7,99.5,3.8,,,,,,,,,,,,,,,,,,84.2
